Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,1.0,2.0,1102,2.0,1,2,1.0,2,0.0,94,3,2,7.0,4,2.0,5993,8,1.0,11,3,1,0,8,0,1,6,4,0,5
49,0.0,1.0,279,1.0,8,1,1.0,3,1.0,61,2,2,6.0,2,1.0,5130,1,0.0,23,4,4,1,10,3,3,10,7,1,7
37,1.0,2.0,1373,1.0,2,2,4.0,4,1.0,92,2,1,2.0,3,2.0,2090,6,1.0,15,3,2,0,7,3,3,0,0,0,0
33,0.0,1.0,1392,1.0,3,4,1.0,4,0.0,56,3,1,6.0,3,1.0,2909,1,1.0,11,3,3,0,8,3,3,8,7,3,0
27,0.0,2.0,591,1.0,2,1,3.0,1,1.0,40,3,1,2.0,2,1.0,3468,9,0.0,12,3,4,1,6,3,3,2,2,2,2
32,0.0,1.0,1005,1.0,2,2,1.0,4,1.0,79,3,1,2.0,4,2.0,3068,0,0.0,13,3,3,0,8,2,2,7,7,3,6
59,0.0,2.0,1324,1.0,3,3,3.0,3,0.0,81,4,1,2.0,1,1.0,2670,4,1.0,20,4,1,3,12,3,2,1,0,0,0
30,0.0,2.0,1358,1.0,24,1,1.0,4,1.0,67,3,1,2.0,3,0.0,2693,1,0.0,22,4,2,1,1,2,3,1,0,0,0
38,0.0,1.0,216,1.0,23,3,1.0,4,1.0,44,2,3,4.0,3,2.0,9526,0,0.0,21,4,2,0,10,2,3,9,7,1,8
36,0.0,2.0,1299,1.0,27,3,3.0,3,1.0,94,3,2,0.0,3,1.0,5237,6,0.0,13,3,2,2,17,3,2,7,7,7,7
